Call the police ,پولیسو ته زنګ ووهئ ,Poliso ta zang wowai
What time is it? ,څو بجې دي؟ ,So baje dee?
It is one o'clock ,یوه بجه ده ,Yawa baja da
Today is Monday ,نن د ګل ورځ ده ,Nan da gul wraz da
Tomorrow is Tuesday ,سبا د نهې ورځ ده ,Saba da nahe wraz da
Yesterday was Sunday ,پرون د اتوار ورځ وه ,Paroon da itwar wraz wa
I am tired ,زه ستړی یم ,Za stary yam
I am happy ,زه خوښ یم ,Za khwash yam
I am sad ,زه خپه یم ,Za khapa yam
Where do you live? ,ته چیرته اوسېږې؟ ,Tah cherta osege?
I live in the city ,زه په ښار کې اوسېږم ,Za pa khar ke oseegam
Do you have a phone? ,ایا ته موبایل لرې؟ ,Aya ta mobile lare?
Give me your number ,خپل نمبر راکړه ,Khpal number rakra
I will call you ,زه به درته زنګ ووهم ,Za ba darta zang wowaham
Wait a moment ,یو لحظه صبر وکړه ,Yaw lahza sabar okra
Hurry up ,زر کوه ,Zar kawa
Look at this ,دې ته وګوره ,De ta wagora
Listen to me ,زما خبرو ته غوږ شه ,Zama khabaro ta ghwag sha
I love you ,زه له تا سره مینه کوم ,Za la ta sara meena kawom
I miss you ,ستا مینه راځي ,Sta meena razi
Who is he? ,هغه څوک دی؟ ,Hagha sok de?
She is my sister ,هغه زما خور ده ,Hagha zama khor da
He is my brother ,هغه زما ورور دی ,Hagha zama wror de
This is my father ,دا زما پلار دی ,Da zama plar de
This is my mother ,دا زما مور ده ,Da zama moor da
How many children do you have? ,ته څومره اولادونه لرې؟ ,Tah somra awladona lare?
I have two sons ,زه دوه زامن لرم ,Za dwa zaman laram
I have one daughter ,زه یوه لور لرم ,Za yawa loor laram
The weather is hot ,هوا توده ده ,Hawwa tooda da
The weather is cold ,هوا یخه ده ,Hawwa yakha da
It is raining ,باران اوري ,Baran oree
It is snowing ,واوره ورېږي ,Wawra waregee
Where is the airport? ,هوایي ډګر چیرته دی؟ ,Hawai dangar cherta de?
I want to go home ,زه غواړم کور ته لاړ شم ,Za gwaram kor ta lar sham
Open the door ,دروازه خلاصه کړه ,Darwaza khlasa kra
Close the window ,کړکۍ بنده کړه ,Karkai banda kra
Sit down ,کښېنه ,Khena
Stand up ,پاڅېږه ,Patsega
Come here ,دلته راشه ,Dalta rasha
Go there ,هلته لاړ شه ,Halta lar sha
I am working ,زه کار کوم ,Za kar kawom
What are you doing? ,ته څه کوې؟ ,Tah sa kawee?
I am reading a book ,زه کتاب لولم ,Za kitab lwalam
Write your name ,خپل نوم ولیکه ,Khpal noom walika
I like this ,دا زما خوښ دی ,Da zama khwash de
I don't like that ,هغه زما نه دی خوښ ,Hagha zama na de khwash
Are you sure? ,ایا ته باوري یې؟ ,Aya ta bawari yee?
Congratulations ,مبارک شه ,Mubarak sha
Happy Birthday ,د زېږېدو ورځ دې مبارک شه ,Da zegedo wraz de mubarak sha
Good luck ,ښه بخت ولرئ ,Kha bakht walari
See you later ,بیا به سره ووینو ,Bia ba sara wowino
God bless you ,خدای دې درته برکت درکړي ,Khoday de darta barakat darkari
I am proud of you ,زه په تا ویاړم ,Za pa ta wyaram
Stop here ,دلته ودرېږه ,Dalta waderega
English,Pashto,Romanized
Where is the school?,ښوونځی چیرته دی؟,Shwondzai cherta de?
I am a student,زه یو زده کوونکی یم,Za yaw zda koonkay yam
This book is interesting,دا کتاب په زړه پورې دی,Da kitab pa zra poore de
I have a pen,زه قلم لرم,Za qalam laram
The library is closed,کتابتون بند دی,Kitabtoon band de
What is the meaning of this?,د دې مانا څه ده؟,Da de mana sa da?
I want to learn Pashto,زه غواړم پښتو زده کړم,Za gwaram Pashto zda kram
Mathematics is difficult,ریاضی ستونزمن دی,Ryazi stoonzman de
Open the book,کتاب خلاص کړه,Kitab khlas kra
Write it down,دا ولیکه,Da walika
I have an exam today,نن زما ازموینه ده,Nan zama azmoyena da
Who is your teacher?,ستا ښوونکی څوک دی؟,Sta shwookay sok de?
The classroom is big,ټولګی لوی دی,Toolgay loy de
Please sit here,هیله ده دلته کښېنه,Heela da dalta khena
Do you have a notebook?,ایا ته کتابچه لرې؟,Aya ta kitabcha lare?
I forgot my homework,ما خپل کورنی کار هېر کړ,Ma khpal koranay kar heer kra
Science is important,ساینس مهم دی,Science muhim de
Read it loudly,په لوړ غږ یې ولوله,Pa lwar ghag ye walwala
Give me the eraser,ماته پاکوونکی راکړه,Mata pakoonkay rakra
The ink is finished,رنګ ختم شوی دی,Rang khatam shaway de
Can you explain this?,ایا ته دا تشریح کولای شې؟,Aya ta da tashreeh kawalay she?
Knowledge is light,علم رڼا ده,Ilm rana da
I am going to university,زه پوهنتون ته ځم,Za pohantoon ta zam
She is a clever girl,هغه هوښیاره نجلۍ ده,Hagha hoshayara njelai da
He is a hardworking boy,هغه یو تکړه هلک دی,Hagha yaw takra halak de
When does the class start?,درس کله پیل کېږي؟,Dars kala payal keegee?
Silence please,مهرباني وکړئ چوپ شئ,Mehrabani wokrai choop shei
I finished the course,ما کورس ختم کړ,Ma course khatam kra
Success is near,بریا نږدې ده,Baryaa nzgde da
Study hard,ډېر درس ووايه,Deer dars wowaya
English,Pashto,Romanized
I am very angry,زه ډېر په غوسه یم,Za deer pa ghosa yam
Don't be afraid,مه وېرېږه,Ma werega
I am surprised,زه حیران یم,Za hairan yam
She is crying,هغه ژاړي,Hagha zari
He is laughing,هغه خاندي,Hagha khandi
I have a headache,زما سر درد کوي,Zama sar dard kawi
My stomach hurts,زما نس درد کوي,Zama nas dard kawi
Take this medicine,دا درمل وخوره,Da darmal wakhora
I need some rest,زه لږ ارام ته اړتیا لرم,Za lag aram ta ahtya laram
Get well soon,ژر ښه شه,Zar kha sha
Are you okay?,ایا ته روغ یې؟,Aya ta rogh yee?
I have a fever,زه تبه لرم,Za taba laram
Call an ambulance,امبولانس ته زنګ ووهئ,Ambulance ta zang wowai
I am allergic to dust,زه له دوړو سره حساسیت لرم,Za la doro sara hasasyat laram
Wash your face,خپل مخ ومینځه,Khpal makh womindza
Brush your teeth,خپل غاښونه برس کړه,Khpal ghakhona brush kra
You look beautiful,ته ښکلې ښکارې,Ta khkule khkare
He is my friend,هغه زما ملګری دی,Hagha zama malgaray de
We are neighbors,موږ ګاونډیان یو,Moong gawandyan yoo
I trust you,زه پر تا باور لرم,Za pa ta bawar laram
Tell me the truth,ماته رښتیا ووایه,Mata rishtya wowaya
Don't lie,درواغ مه وایه,Drwagh ma waya
I promise,زه ژمنه کوم,Za jmana kawom
Life is short,ژوند لنډ دی,Jwand land de
Time is gold,وخت سرو زرو دی,Wakht sro zro de
Be patient,صبر وکړه,Sabar okra
Forgive me,ما وبښه,Ma wabakha
I forgot your name,ستا نوم رانه هېر شو,Sta noom rane heer sho
Remember me,زه په یاد ساته,Za pa yad sata
Let's go outside,راځئ بهر لاړ شو,Razai bahar lar shoo
The baby is sleeping,ماشوم ویده دی,Mashoom wida de
Don't make noise,شور مه کوه,Shor ma kawa
I am proud of my country,زه پر خپل هېواد ویاړم,Za pa khpal hewad wyaram
Help the poor,له غریبو سره مرسته وکړه,La ghreebo sara mrasta okra
Unity is strength,یووالی قوت دی,Yawali quwat de
I have a question,زه یوه پوښتنه لرم,Za yawa pokhtana laram
Answer the phone,موبایل ته ځواب ورکړه,Mobile ta zwab darkra
What happened?,څه وشول؟,Sa ooshowal?
Nothing happened,هېڅ نه دي شوي,Hes na dee shwi
Keep it up,همداسې جاري وساته,Hamdase jari wasata
English,Pashto,Romanized
The road is blocked,لاره بنده ده,Lara banda da
Turn left,کیڼ لوري ته وګرځه,Kin loori ta wagardza
Turn right,ښي لوري ته وګرځه,Khi loori ta wagardza
Go straight,نېغ لاړ شه,Negh lar sha
Is it far?,ایا دا لرې دی؟,Aya da lare de?
It is very near,دا ډېر نږدې دی,Da deer nzgde de
I am at the bus stop,زه په اډه کې یم,Za pa adda ke yam
Where is the ticket office?,د ټکټ ځای چیرته دی؟,Da ticket dzay cherta de?
The sky is blue,اسمان شین دی,Asman shin de
The sun is shining,لمر ځلېږي,Lmar zalegee
It is a beautiful garden,دا یو ښکلی بڼ دی,Da yaw khkulay ban de
The river is deep,سیند ژور دی,Sind jwar de
Look at the mountains,غرونو ته وګوره,Ghooroono ta wagora
The birds are flying,مرغۍ الوزي,Murghai aloozi
I like the flowers,ګلان زما خوښ دي,Gulan zama khwash dee
The moon is bright,سپوږمۍ روښانه ده,Spogmai rokhana da
It is windy today,نن باد دی,Nan baad de
Put on your shoes,خپل بوټان پر پښو کړه,Khpal bootan pa pkho kra
Where is my bag?,زما کڅوړه چیرته ده؟,Zama katsora cherta da?
I am traveling by car,زه په موټر کې سفر کوم,Za pa motar ke safar kawom
The train is on time,ریل ګاډی پر وخت دی,Rail gadi pa wakht de
I lost my passport,ما خپل پاسپورټ ورک کړ,Ma khpal passport wrak kra
Help me with the luggage,له سامانونو سره مې مرسته وکړه,La samanono sara me mrasta okra
The forest is dark,ځنګل تیاره دی,Dzangal tyara de
There are many trees,دلته ډېرې ونې دي,Dalta deere wane dee
The grass is green,واښه شنه دي,Wakha shna dee
I want to see the sea,زه غواړم سیند وګورم,Za gwaram sind wagoram
The desert is hot,دښته توده ده,Dashta tooda da
We are camping tonight,موږ نن شپه خیمه وهو,Moong nan shpa khayma wahoo
Be careful on the road,په لاره پام کوه,Pa lara pam kawa
What is the weather like?,هوا څنګه ده؟,Hawwa sanga da?
I am going to the village,زه کلي ته ځم,Za kili ta zam
The city is noisy,ښار شور ماشور دی,Khar shor mashor de
I need a map,زه نقشې ته اړتیا لرم,Za naqshe ta ahtya laram
Is there a hotel nearby?,ایا نږدې کوم هوټل شته؟,Aya nzgde kum hotel shta?
I want to rent a car,زه غواړم موټر کرایه کړم,Za gwaram motar kraya kram
The bridge is long,پول اوږد دی,Pool oogd de
Look at the stars,ستورو ته وګوره,Storo ta wagora
It is a peaceful place,دا یوه ارامه سیمه ده,Da yawa arama sima da
I am tired of walking,له پلې تګ څخه ستړی یم,La ple tag sakha stary yam
English,Pashto,Romanized
I want tea with sugar,زه له بورې سره چای غواړم,Za la boore sara chay gwaram
The bread is fresh,ډوډۍ تازه ده,Dodai taza da
I don't eat meat,زه غوښه نه خورم,Za ghwakha na khoram
Give me some fruit,ماته لږ مېوه راکړه,Mata lag mewa rakra
The water is cold,اوبه یخې دي,Uba yakhe dee
I am cooking rice,زه وریژې پخوم,Za wreje pakhawom
Where is the spoon?,کاچوغه چیرته ده؟,Kachoogha cherta da?
I need a knife,زه چاقو ته اړتیا لرم,Za chaqoo ta ahtya laram
The salt is missing,مالګه نشته,Malga nishta
This apple is sweet,دا مڼه خوږه ده,Da mana khwaga da
I want to buy clothes,زه غواړم کالي واخلم,Za gwaram kaali wakhlum
The price is too high,قیمت ډېر لوړ دی,Qemat deer lwar de
Do you have change?,ایا ته میده پیسې لرې؟,Aya ta mida paise lare?
I like spicy food,زه تېره ډوډۍ خوښوم,Za teera dodai khwashawom
Drink your milk,خپله شیدې وڅښه,Khpala shede waskha
The kitchen is clean,پخلنځی پاک دی,Pakhlandzai pak de
Boil the water,اوبه ووېشوه,Uba waweshawa
I am baking bread,زه ډوډۍ پخوم,Za dodai pakhawom
Taste this,دا وڅکه,Da wasaka
I am full,زه موړ یم,Za mor yam
I want a cup of coffee,زه یو پیاله کافي غواړم,Za yaw pyala coffee gwaram
The soup is hot,ښوروا توده ده,Shorwa tooda da
Put it in the fridge,دا په یخچال کې کېږده,Da pa yakhchal ke kegda
I need vegetables,زه سبزیجاتو ته اړتیا لرم,Za sabzijato ta ahtya laram
This fish is delicious,دا کبان خوندور دي,Da kaban khwandawar dee
Bring the bill,بل راوړه,Bill rawra
Keep the change,پاتې پیسې درسره وساته,Pate paise darsara wasata
I am going to the grocery,زه د خوراکي توکو پلورنځي ته ځم,Za da khoraki tooko ploorandzi ta zam
The onions are red,پیاز سره دي,Pyaz sre dee
Give me a glass of water,ماته یو ګیلاس اوبه راکړه,Mata yaw gilas uba rakra
English,Pashto,Romanized
What is your job?,ستا دنده څه ده؟,Sta danda sa da?
I work in an office,زه په دفتر کې کار کوم,Za pa daftar ke kar kawom
Where is your boss?,ستا مشر چیرته دی؟,Sta mshar cherta de?
I have a meeting,زه یوه ناسته لرم,Za yawa nasta laram
Send me an email,ماته برېښنالیک واستوه,Mata brekhnalik wastowa
The shop is open,هټۍ خلاصه ده,Hatai khlasa da
How much is the salary?,معاش څومره دی؟,Ma'ash somra de?
I am busy right now,زه همدا اوس بوخت یم,Za hamda os bokht yam
Sign the paper,کاغذ لاسلیک کړه,Kaghaz laslik kra
We need more staff,موږ نورو کارکوونکو ته اړتیا لرو,Moong noro karkoonko ta ahtya laroo
The computer is slow,کمپیوټر سست دی,Computer sast de
I am looking for a job,زه د دندې په لټه کې یم,Za da dande pa lata ke yam
He is an engineer,هغه انجینر دی,Hagha engineer de
This is a good company,دا یو ښه شرکت دی,Da yaw kha shirkat de
I am late for work,زه کار ته ناوخته شوم,Za kar ta nawakta shum
Call me later,بیا رنګ راته ووهه,Bia zang rata wowaha
The printer is broken,پرنټر خراب دی,Printer khrab de
Check the document,لاسوند وګوره,Laswand wagora
I have a plan,زه یو پلان لرم,Za yaw plan laram
Let's start the work,راځئ کار پیل کړو,Razai kar payal kroo
This is my colleague,دا زما همکار دی,Da zama hamkar de
The market is crowded,بازار ګڼه ګوڼه ده,Bazar gana goona da
I need a signature,زه لاسلیک ته اړتیا لرم,Za laslik ta ahtya laram
We are profit oriented,موږ په ګټه پسې یو,Moong pa gata pase yoo
Business is slow today,نن کاروبار سست دی,Nan karobar sast de
He retired last year,هغه تېر کال متقاعد شو,Hagha ter kal mutaqayid sho
The project is finished,پروژه ختمه شوه,Proje khatma shwa
I am on holiday,زه په رخصتۍ یم,Za pa rukhsati yam
Is the manager here?,ایا مدیر دلته دی؟,Aya mudeer dalta de?
Work hard for your future,د خپل راتلونکي لپاره کار وکړه,Da khpal ratloonki lapara kar okra
English,Pashto,Romanized
Where is the school?,ښوونځی چیرته دی؟,Shwondzai cherta de?
I am a student,زه یو زده کوونکی یم,Za yaw zda koonkay yam
This book is interesting,دا کتاب په زړه پورې دی,Da kitab pa zra poore de
I have a pen,زه قلم لرم,Za qalam laram
The library is closed,کتابتون بند دی,Kitabtoon band de
What is the meaning of this?,د دې مانا څه ده؟,Da de mana sa da?
I want to learn Pashto,زه غواړم پښتو زده کړم,Za gwaram Pashto zda kram
Mathematics is difficult,ریاضی ستونزمن دی,Ryazi stoonzman de
Open the book,کتاب خلاص کړه,Kitab khlas kra
Write it down,دا ولیکه,Da walika
I have an exam today,نن زما ازموینه ده,Nan zama azmoyena da
Who is your teacher?,ستا ښوونکی څوک دی؟,Sta shwookay sok de?
The classroom is big,ټولګی لوی دی,Toolgay loy de
Please sit here,هیله ده دلته کښېنه,Heela da dalta khena
Do you have a notebook?,ایا ته کتابچه لرې؟,Aya ta kitabcha lare?
I forgot my homework,ما خپل کورنی کار هېر کړ,Ma khpal koranay kar heer kra
Science is important,ساینس مهم دی,Science muhim de
Read it loudly,په لوړ غږ یې ولوله,Pa lwar ghag ye walwala
Give me the eraser,ماته پاکوونکی راکړه,Mata pakoonkay rakra
The ink is finished,رنګ ختم شوی دی,Rang khatam shaway de
Can you explain this?,ایا ته دا تشریح کولای شې؟,Aya ta da tashreeh kawalay she?
Knowledge is light,علم رڼا ده,Ilm rana da
I am going to university,زه پوهنتون ته ځم,Za pohantoon ta zam
She is a clever girl,هغه هوښیاره نجلۍ ده,Hagha hoshayara njelai da
He is a hardworking boy,هغه یو تکړه هلک دی,Hagha yaw takra halak de
When does the class start?,درس کله پیل کېږي؟,Dars kala payal keegee?
Silence please,مهرباني وکړئ چوپ شئ,Mehrabani wokrai choop shei
I finished the course,ما کورس ختم کړ,Ma course khatam kra
Success is near,بریا نږدې ده,Baryaa nzgde da
Study hard,ډېر درس ووايه,Deer dars wowaya
